#HEADER:Level,LevelCategory,AreaCode,AreaName
1,KABUPATEN/KOTA,22252,KOTA BENGKULU
2,KECAMATAN,22253,SELEBAR
2,KECAMATAN,22260,GADING CEMPAKA
2,KECAMATAN,22272,TELUK SEGARA
2,KECAMATAN,22286,MUARA BANGKA HULU
2,KECAMATAN,22294,KAMPUNG MELAYU
2,KECAMATAN,22301,RATU AGUNG
2,KECAMATAN,22310,RATU SAMBAN
2,KECAMATAN,22320,SUNGAI SERUT
2,KECAMATAN,83447,SINGARAN PATI
0,PROVINSI,22328,LAMPUNG
1,KABUPATEN/KOTA,22605,LAMPUNG SELATAN
2,KECAMATAN,22606,NATAR
2,KECAMATAN,22861,WAY SULAN
2,KECAMATAN,22852,TANJUNG SARI
2,KECAMATAN,22846,BAKAUHENI
2,KECAMATAN,22830,MERBAU MATARAM
2,KECAMATAN,22815,CANDIPURO
2,KECAMATAN,22799,RAJA BASA
2,KECAMATAN,22788,SRAGI
2,KECAMATAN,22771,KETAPANG
2,KECAMATAN,22749,JATI AGUNG
2,KECAMATAN,22727,PALAS
2,KECAMATAN,22704,PENENGAHAN
2,KECAMATAN,22690,KATIBUNG
2,KECAMATAN,22674,SIDOMULYO
2,KECAMATAN,22646,KALIANDA
2,KECAMATAN,22629,TANJUNG BINTANG
2,KECAMATAN,22870,WAY PANJI
1,KABUPATEN/KOTA,22875,LAMPUNG TENGAH
2,KECAMATAN,22876,KALIREJO
2,KECAMATAN,23063,SEPUTIH AGUNG
2,KECAMATAN,23073,WAY PANGUBUAN
2,KECAMATAN,23080,BANDAR MATARAM
2,KECAMATAN,23089,PUBIAN
2,KECAMATAN,23108,SELAGAI LINGGA
2,KECAMATAN,23121,ANAK TUHA
2,KECAMATAN,23134,SENDANG AGUNG
2,KECAMATAN,23144,KOTA GAJAH
2,KECAMATAN,23151,BUMI NABUNG
2,KECAMATAN,23158,WAY SEPUTIH
2,KECAMATAN,23165,BANDAR SURABAYA
2,KECAMATAN,23175,ANAK RATU AJI
2,KECAMATAN,23054,BEKRI
2,KECAMATAN,23044,BUMI RATU NUBAN
2,KECAMATAN,22890,BANGUN REJO
2,KECAMATAN,22906,PADANG RATU
2,KECAMATAN,22921,GUNUNG SUGIH
2,KECAMATAN,22937,TRIMURJO
2,KECAMATAN,22952,PUNGGUR
