#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
1,ACEH,1824,ACEH BESAR,2024,SUKAMAKMUR,4189,3170,7359
1,ACEH,1824,ACEH BESAR,1854,LHOKNGA,4580,3111,7691
1,ACEH,1824,ACEH BESAR,2376,DARUL KAMAL,1819,1599,3418
1,ACEH,1824,ACEH BESAR,2391,BAITUSSALAM,3779,3160,6939
1,ACEH,1824,ACEH BESAR,1936,SEULIMEUM,4693,5158,9851
1,ACEH,2452,PIDIE,2453,BATEE,0,0,0
1,ACEH,1824,ACEH BESAR,2060,DARUL IMARAH,11484,7981,19465
1,ACEH,1824,ACEH BESAR,2263,PULO ACEH,1127,1301,2428
1,ACEH,1824,ACEH BESAR,2120,MESJID RAYA,3001,3257,6258
1,ACEH,1824,ACEH BESAR,2418,LEUPUNG,631,763,1394
1,ACEH,2452,PIDIE,3032,TANGSE,5198,6186,11384
1,ACEH,2452,PIDIE,2864,PIDIE,0,0,0
1,ACEH,2452,PIDIE,2979,SIMPANG TIGA,4660,5611,10271
1,ACEH,2452,PIDIE,3169,GLUMPANG BARO,1565,2941,4506
1,ACEH,2452,PIDIE,3099,MUTIARA TIMUR,4938,8418,13356
1,ACEH,2452,PIDIE,2815,PEUKAN BARO,0,0,0
1,ACEH,1824,ACEH BESAR,2093,PEUKAN BADA,3778,3662,7440
1,ACEH,1824,ACEH BESAR,1984,MONTASIK,6373,3074,9447
1,ACEH,1824,ACEH BESAR,2134,INGIN JAYA,8026,6351,14377
1,ACEH,2452,PIDIE,2568,INDRA JAYA,3618,5734,9352
1,ACEH,2452,PIDIE,3081,KEUMALA,1032,2969,4001
1,ACEH,1824,ACEH BESAR,2425,BLANG BINTANG,3053,2148,5201
1,ACEH,2452,PIDIE,2929,SAKTI,0,0,0
1,ACEH,2452,PIDIE,2533,GEULUMPANG TIGA,0,0,0
1,ACEH,2452,PIDIE,3191,TITEUE,1110,1353,2463
1,ACEH,2452,PIDIE,2750,PADANG TIJI,4002,5167,9169
1,ACEH,2452,PIDIE,3164,MANE,976,1397,2373
1,ACEH,3205,ACEH UTARA,3867,COT GIREK,6352,2450,8802
1,ACEH,2452,PIDIE,2664,KOTA SIGLI,3518,3742,7260
1,ACEH,2452,PIDIE,2482,DELIMA,0,0,0
1,ACEH,2452,PIDIE,2701,MUARA TIGA,4865,1867,6732
1,ACEH,3205,ACEH UTARA,3206,BAKTIYA,7176,6433,13609
1,ACEH,3205,ACEH UTARA,3892,LANGKAHAN,4194,3819,8013
1,ACEH,3205,ACEH UTARA,3943,PAYA BAKONG,2984,2449,5433
1,ACEH,2452,PIDIE,2527,GEUMPANG,785,1158,1943
1,ACEH,3205,ACEH UTARA,4021,LAPANG,1181,1280,2461
1,ACEH,2452,PIDIE,2618,KEMBANG TANJONG,3411,5241,8652
1,ACEH,3205,ACEH UTARA,4033,PIRAK TIMUR,1775,1507,3282
1,ACEH,3205,ACEH UTARA,3730,TANAH PASIR,1867,1427,3294
1,ACEH,3205,ACEH UTARA,4069,BANDA BARO,1705,695,2400
1,ACEH,3205,ACEH UTARA,3397,MATANGKULI,3872,3445,7317
1,ACEH,3205,ACEH UTARA,3837,NISAM,4535,1928,6463
1,ACEH,2452,PIDIE,2680,MILA,1760,1958,3718
1,ACEH,3205,ACEH UTARA,4004,SIMPANG KRAMAT,2801,1284,4085
1,ACEH,3205,ACEH UTARA,3797,SAWANG,7866,3931,11797
1,ACEH,2452,PIDIE,2720,MUTIARA,3270,4973,8243
1,ACEH,3205,ACEH UTARA,3447,MUARA BATU,5837,2986,8823
1,ACEH,3205,ACEH UTARA,3264,DEWANTARA,8254,4449,12703
1,ACEH,3205,ACEH UTARA,3633,SYAMTALIRA BAYU,4800,2801,7601
1,ACEH,3205,ACEH UTARA,3916,BAKTIYA BARAT,2948,3224,6172
1,ACEH,3205,ACEH UTARA,4057,GEUREDONG PASE,1563,533,2096
1,ACEH,3205,ACEH UTARA,3983,NIBONG,2514,1675,4189
1,ACEH,4086,SIMEULUE,4204,TEUPAH SELATAN,0,0,0
1,ACEH,4086,SIMEULUE,4189,SIMEULUE BARAT,0,0,0
1,ACEH,3205,ACEH UTARA,3472,MEURAH MULIA,3965,3782,7747
1,ACEH,3205,ACEH UTARA,3320,LHOKSUKON,9549,7667,17216
1,ACEH,4086,SIMEULUE,4224,ALAPAN,0,0,0
1,ACEH,3205,ACEH UTARA,3523,SAMUDERA,6294,3771,10065
1,ACEH,4086,SIMEULUE,83456,SIMEULUE CUT,0,0,0
1,ACEH,4233,ACEH SINGKIL,4234,PULAU BANYAK,838,574,1412
1,ACEH,4233,ACEH SINGKIL,4336,SURO MAKMUR,1233,1698,2931
1,ACEH,4086,SIMEULUE,4178,TELUK DALAM,0,0,0
1,ACEH,4086,SIMEULUE,4087,SIMEULUE TENGAH,0,0,0
1,ACEH,3205,ACEH UTARA,3280,KUTA MAKMUR,6314,3703,10017
1,ACEH,3205,ACEH UTARA,3564,SEUNUDDON,6338,2800,9138
1,ACEH,4086,SIMEULUE,4129,TEUPAH BARAT,0,0,0
1,ACEH,3205,ACEH UTARA,3598,SYAMTALIRA ARON,4374,3121,7495
1,ACEH,3205,ACEH UTARA,4079,NISAM ANTARA,1611,937,2548
1,ACEH,4086,SIMEULUE,4112,SALANG,0,0,0
1,ACEH,3205,ACEH UTARA,3672,TANAH LUAS,6213,4120,10333
1,ACEH,4233,ACEH SINGKIL,4311,KOTA BAHARU,1627,1031,2658
1,ACEH,4086,SIMEULUE,83455,TEUPAH TENGAH,0,0,0
1,ACEH,4362,BIREUEN,4363,SAMALANGA,6185,3652,9837
1,ACEH,4362,BIREUEN,4363,SAMALANGA,6185,3652,9837
1,ACEH,4086,SIMEULUE,4148,SIMEULUE TIMUR,0,0,0
1,ACEH,4233,ACEH SINGKIL,4348,SINGKOHOR,1795,1135,2930
1,ACEH,4233,ACEH SINGKIL,4360,PULAU BANYAK BARAT,370,654,1024
1,ACEH,4233,ACEH SINGKIL,4321,SINGKIL UTARA,2008,1810,3818
1,ACEH,4362,BIREUEN,4858,KOTA JUANG,10759,5952,16711
1,ACEH,4233,ACEH SINGKIL,4329,DANAU PARIS,1054,1273,2327
1,ACEH,4362,BIREUEN,4903,PEUSANGAN SIBLAH KRUENG,2839,1838,4677
1,ACEH,4233,ACEH SINGKIL,4355,KUALA BARU,569,413,982
1,ACEH,4233,ACEH SINGKIL,4268,SINGKIL,4907,2480,7387
1,ACEH,4362,BIREUEN,4925,PEUSANGAN SELATAN,3085,2060,5145
1,ACEH,4362,BIREUEN,4689,PANDRAH,2018,1335,3353
1,ACEH,4362,BIREUEN,4882,KUALA,4215,2235,6450
1,ACEH,4233,ACEH SINGKIL,4285,GUNUNG MERIAH,9059,5549,14608
1,ACEH,4362,BIREUEN,4709,JULI,7180,4581,11761
1,ACEH,4362,BIREUEN,4410,JEUNIEB,7878,3096,10974
1,ACEH,4362,BIREUEN,4793,SIMPANG MAMPLAM,4639,4356,8995
1,ACEH,4233,ACEH SINGKIL,4242,SIMPANG KANAN,3821,2613,6434
1,ACEH,4362,BIREUEN,4620,MAKMUR,3523,2013,5536
1,ACEH,4989,ACEH BARAT DAYA,5045,SUSOH,4895,5305,10200
1,ACEH,4362,BIREUEN,4507,JEUMPA,7113,4486,11599
1,ACEH,4362,BIREUEN,4648,GANDAPURA,6515,2592,9107
1,ACEH,4362,BIREUEN,4550,PEUSANGAN,11179,7392,18571
1,ACEH,4989,ACEH BARAT DAYA,4990,BLANG PIDIE,4780,3709,8489
1,ACEH,4362,BIREUEN,4835,PEULIMBANG,2180,2342,4522
1,ACEH,4989,ACEH BARAT DAYA,5027,MANGGENG,3479,2648,6127
1,ACEH,4362,BIREUEN,4454,PEUDADA,5264,5031,10295
1,ACEH,4362,BIREUEN,4746,JANGKA,5432,4381,9813
1,ACEH,5138,GAYO LUES,5254,BLANGJERANGO,1201,2483,3684
1,ACEH,5138,GAYO LUES,5244,PUTERI BETUNG,1259,2673,3932
1,ACEH,5138,GAYO LUES,5211,PINING,680,1444,2124
1,ACEH,5138,GAYO LUES,5265,PANTAN CUACA,714,1561,2275
1,ACEH,5138,GAYO LUES,5152,BLANGKEJEREN,0,0,0
1,ACEH,4989,ACEH BARAT DAYA,5118,SETIA,1239,1627,2866
1,ACEH,4362,BIREUEN,4947,KUTA BLANG,5773,2745,8518
1,ACEH,5286,ACEH JAYA,5324,KRUENG SABEE,0,0,0
1,ACEH,4989,ACEH BARAT DAYA,5074,KUALA BATEE,3972,3536,7508
1,ACEH,5138,GAYO LUES,5173,RIKIT GAIB,0,0,0
1,ACEH,4989,ACEH BARAT DAYA,5127,JEUMPA,2860,1536,4396
1,ACEH,4989,ACEH BARAT DAYA,5104,LEMBAH SABIL,0,0,0
1,ACEH,4989,ACEH BARAT DAYA,5093,BABAH ROT,2284,3615,5899
1,ACEH,5286,ACEH JAYA,5394,JAYA,5321,2147,7468
1,ACEH,5286,ACEH JAYA,83453,PASIE RAYA,0,0,0
1,ACEH,5138,GAYO LUES,5139,KUTAPANJANG,1536,2498,4034
1,ACEH,5286,ACEH JAYA,83452,DARUL HIKMAH,1779,1271,3050
1,ACEH,5463,NAGAN RAYA,5464,KUALA,4447,4269,8716
1,ACEH,5138,GAYO LUES,5221,DABUN GELANG,1233,1499,2732
1,ACEH,5138,GAYO LUES,5187,TERANGUN,2187,2268,4455
1,ACEH,5138,GAYO LUES,5275,TERIPE JAYA,0,0,0
1,ACEH,5463,NAGAN RAYA,5517,SEUNAGAN TIMUR,3125,4321,7446
1,ACEH,5138,GAYO LUES,5231,BLANGPEGAYON,1155,1465,2620
1,ACEH,5286,ACEH JAYA,5287,TEUNOM,3345,3199,6544
1,ACEH,5463,NAGAN RAYA,5482,SEUNAGAN,3480,4764,8244
1,ACEH,5286,ACEH JAYA,5356,SAMPOINIET,1453,1618,3071
