2,KECAMATAN,26196,BABAKAN MADANG,39316,12789,52105
2,KECAMATAN,26182,SUKARAJA,61972,28474,90446
2,KECAMATAN,26167,CITEUREUP,70371,28569,98940
2,KECAMATAN,26156,GUNUNG PUTRI,96077,45519,141596
2,KECAMATAN,26256,PARUNG,38083,24181,62264
2,KECAMATAN,26266,GUNUNG SINDUR,30396,24732,55128
2,KECAMATAN,26369,JASINGA,28354,16557,44911
2,KECAMATAN,26355,RUMPIN,37497,26711,64208
2,KECAMATAN,26339,PAMIJAHAN,44937,22589,67526
2,KECAMATAN,26323,CIBUNGBULANG,43046,24243,67289
2,KECAMATAN,26309,CIAMPEA,47438,32069,79507
2,KECAMATAN,26297,LEUWILIANG,40257,17777,58034
2,KECAMATAN,26287,BOJONG GEDE,72754,48959,121713
2,KECAMATAN,26277,KEMANG,29337,21546,50883
2,KECAMATAN,26604,TENJOLAYA,18412,11081,29493
1,KABUPATEN/KOTA,26611,SUKABUMI,1636134,852888,2489022
2,KECAMATAN,27020,CIAMBAR,14021,4480,18501
2,KECAMATAN,26920,KEBON PEDES,12296,3605,15901
2,KECAMATAN,26910,SUKARAJA,29368,11969,41337
2,KECAMATAN,26903,SUKABUMI,19933,6929,26862
2,KECAMATAN,26893,CARINGIN,17089,4643,21732
2,KECAMATAN,26883,KADUDAMPIT,23036,4405,27441
2,KECAMATAN,26869,CISAAT,49493,13342,62835
2,KECAMATAN,26861,CICANTAYAN,22413,6537,28950
2,KECAMATAN,26853,GUNUNG GURUH,16696,10206,26902
2,KECAMATAN,26844,CIRACAP,12743,12957,25700
2,KECAMATAN,26926,CIREUNGHAS,11934,3966,15900
2,KECAMATAN,26932,SUKALARANG,10061,7749,17810
2,KECAMATAN,26939,PABUARAN,13497,5910,19407
2,KECAMATAN,27013,CIMANGGU,7518,2940,10458
2,KECAMATAN,27004,TEGALBULEUD,10384,8152,18536
2,KECAMATAN,26999,CIDADAP,5974,4702,10676
2,KECAMATAN,26993,CIDOLOG,5690,4355,10045
2,KECAMATAN,26986,CURUG KEMBAR,8977,6652,15629
2,KECAMATAN,26974,SAGARANTEN,16677,9050,25727
2,KECAMATAN,26966,GEGER BITUNG,13345,6643,19988
2,KECAMATAN,26955,NYALINDUNG,17027,8251,25278
2,KECAMATAN,26947,PURABAYA,12734,7994,20728
2,KECAMATAN,26837,CIBITUNG,7843,4725,12568
2,KECAMATAN,26825,SURADE,22275,13833,36108
2,KECAMATAN,26817,KALIBUNDER,9238,3862,13100
2,KECAMATAN,26699,CIKEMBAR,30001,14115,44116
2,KECAMATAN,26688,WARUNG KIARA,19109,9274,28383
2,KECAMATAN,26676,JAMPANG TENGAH,21654,12415,34069
2,KECAMATAN,26670,LENGKONG,8482,4949,13431
2,KECAMATAN,26657,CIKIDANG,16104,9787,25891
2,KECAMATAN,26645,CISOLOK,17889,14646,32535
2,KECAMATAN,26637,BANTAR GADUNG,10444,5410,15854
2,KECAMATAN,26628,CIKAKAK,10342,7104,17446
2,KECAMATAN,26621,SIMPENAN,16730,9556,26286
2,KECAMATAN,26709,CIBADAK,38418,16815,55233
2,KECAMATAN,26720,NAGRAK,27516,15483,42999
2,KECAMATAN,26731,PARUNG KUDA,25828,9301,35129
2,KECAMATAN,26808,CIEMAS,13933,10864,24797
2,KECAMATAN,26797,JAMPANG KULON,14634,6655,21289
2,KECAMATAN,26791,WALURAN,8082,5091,13173
2,KECAMATAN,26784,KABANDUNGAN,11733,5710,17443
2,KECAMATAN,26776,KALAPA NUNGGAL,17602,4919,22521
2,KECAMATAN,26767,CIDAHU,23638,6806,30444
2,KECAMATAN,26753,CICURUG,44985,19284,64269
2,KECAMATAN,26746,PARAKAN SALAK,16409,4586,20995
2,KECAMATAN,26740,BOJONG GENTENG,14540,3557,18097
2,KECAMATAN,26612,PELABUHAN RATU,31467,18743,50210
1,KABUPATEN/KOTA,27026,CIANJUR,829802,392927,1222729
2,KECAMATAN,27027,CIANJUR,0,0,0
2,KECAMATAN,27247,PAGELARAN,0,0,0
2,KECAMATAN,27261,TANGGEUNG,0,0,0
2,KECAMATAN,27274,CIBINONG,0,0,0
2,KECAMATAN,27288,SINDANGBARANG,0,0,0
2,KECAMATAN,27298,AGRABINTA,0,0,0
2,KECAMATAN,27309,CIDAUN,0,0,0
2,KECAMATAN,27323,NARINGGUL,0,0,0
2,KECAMATAN,27334,CAMPAKAMULYA,0,0,0
